id,helpfulness,fluency,factuality,safety,diversity,creativity,values,confidence,formatting,sycophancy,repetition
pair_00,0.0000,0.2500,0.3000,0.0000,0.0000,0.0500,0.0000,0.2500,0.0000,0.0000,0.2500
pair_01,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1500
pair_02,0.0200,0.0500,0.0000,0.0000,0.1000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0300
pair_03,0.0000,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.2500,0.0000,0.0500,0.2000
pair_04,0.0700,0.1300,0.0500,0.0000,0.0200,0.0300,0.0800,0.0700,0.0800,0.0000,0.1300
pair_05,0.0300,0.0500,0.1000,0.0000,0.0300,0.0100,0.0000,0.0500,0.0800,0.0000,0.2700
pair_06,0.0200,0.1000,0.0300,0.0000,0.0500,0.2000,0.0000,0.0500,0.0500,0.0500,0.0500
pair_07,0.0000,0.0500,0.0000,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500
pair_08,0.0200,0.0500,0.0000,0.0000,0.0300,0.0000,0.0000,0.1500,0.0300,0.0000,0.0800
pair_09,0.0200,0.1000,0.0200,0.1000,0.0500,0.0500,0.0300,0.1000,0.0000,0.0000,0.0200
pair_10,0.0000,0.0500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,0.0500,0.0000,0.0300
